Date,SPY
2014-10-21,161.19097900390625
2014-10-22,160.04470825195312
2014-10-23,161.9052276611328
2014-10-24,163.1510772705078
2014-10-27,162.9268035888672
2014-10-28,164.795654296875
2014-10-29,164.54640197753906
2014-10-30,165.60128784179688
2014-10-31,167.49502563476562
2014-11-03,167.5863800048828
2014-11-04,167.00502014160156
2014-11-05,168.05979919433594
2014-11-06,168.73257446289062
2014-11-07,168.890380859375
2014-11-10,169.42196655273438
2014-11-11,169.5880584716797
2014-11-12,169.4053497314453
2014-11-13,169.59646606445312
2014-11-14,169.637939453125
2014-11-17,169.74591064453125
2014-11-18,170.7259521484375
2014-11-19,170.4518585205078
2014-11-20,170.75088500976562
2014-11-21,171.66455078125
2014-11-24,172.14625549316406
2014-11-25,172.02166748046875
2014-11-26,172.4618682861328
2014-11-28,172.09646606445312
2014-12-01,170.90042114257812
2014-12-02,172.0050811767578
2014-12-03,172.66957092285156
2014-12-04,172.47848510742188
2014-12-05,172.76097106933594
2014-12-08,171.60641479492188
2014-12-09,171.4901123046875
2014-12-10,168.7408905029297
2014-12-11,169.59646606445312
2014-12-12,166.85546875
2014-12-15,165.70921325683594
2014-12-16,164.38035583496094
2014-12-17,167.6029510498047
2014-12-18,171.74752807617188
2014-12-19,172.4783477783203
2014-12-22,173.27175903320312
2014-12-23,173.5055694580078
2014-12-24,173.5223388671875
2014-12-26,174.0818634033203
2014-12-29,174.31576538085938
2014-12-30,173.38037109375
2014-12-31,171.65989685058594
2015-01-02,171.5680694580078
2015-01-05,168.46958923339844
2015-01-06,166.8827667236328
2015-01-07,168.96224975585938
2015-01-08,171.96060180664062
2015-01-09,170.5825653076172
2015-01-12,169.24623107910156
2015-01-13,168.77024841308594
2015-01-14,167.75135803222656
2015-01-15,166.2146453857422
2015-01-16,168.39439392089844
2015-01-20,168.75357055664062
2015-01-21,169.60540771484375
2015-01-22,172.1275634765625
2015-01-23,171.18386840820312
2015-01-26,171.58473205566406
