CAGR,AnnVol,Sharpe,MaxDD
0.001585,0.128581,0.076832,-0.432909
-0.047164,0.128856,-0.310241,-0.661549
-0.101116,0.130853,-0.748850,-0.826875
-0.081375,0.127400,-0.602237,-0.768565
-0.041933,0.125766,-0.277481,-0.677581
-0.011954,0.129794,-0.027499,-0.457918
-0.070049,0.129580,-0.495355,-0.755622
-0.060757,0.129299,-0.419868,-0.748626
-0.019460,0.128402,-0.088655,-0.617929
-0.032884,0.130621,-0.190397,-0.687493
-0.077519,0.129207,-0.559589,-0.756246
-0.043621,0.132826,-0.269007,-0.634793
-0.016894,0.128246,-0.068514,-0.522607
-0.062568,0.125754,-0.450590,-0.716174
-0.028373,0.129833,-0.156550,-0.613565
-0.034213,0.128441,-0.206600,-0.712634
0.050820,0.127283,0.453257,-0.405715
-0.080463,0.126895,-0.597304,-0.788349
0.003524,0.125117,0.090762,-0.473576
-0.090202,0.129370,-0.665667,-0.836731
0.000961,0.129799,0.072495,-0.401509
-0.006917,0.124742,0.006907,-0.516867
0.035150,0.125274,0.338564,-0.328463
0.023433,0.125165,0.247778,-0.366116
-0.099587,0.129451,-0.745253,-0.858531
-0.041263,0.131709,-0.253862,-0.649146
-0.068830,0.132586,-0.471241,-0.760471
-0.116822,0.127728,-0.908326,-0.868166
-0.054058,0.128614,-0.367512,-0.586150
-0.037586,0.127154,-0.237519,-0.559476
-0.123917,0.129506,-0.956238,-0.873559
-0.089980,0.129768,-0.661314,-0.817937
-0.021250,0.126373,-0.106602,-0.655306
-0.084224,0.126985,-0.629045,-0.770623
-0.074430,0.127804,-0.540952,-0.776836
-0.047991,0.123873,-0.334879,-0.641525
-0.048336,0.126211,-0.329171,-0.631953
-0.077995,0.125078,-0.586405,-0.816540
-0.044043,0.129414,-0.283111,-0.669256
-0.123571,0.128125,-0.964892,-0.899344
-0.018569,0.128827,-0.080877,-0.633337
-0.126393,0.127877,-0.992246,-0.879461
0.031241,0.127502,0.305240,-0.304032
-0.022102,0.126634,-0.112993,-0.484913
-0.039919,0.127695,-0.254951,-0.745165
-0.054698,0.126745,-0.380232,-0.749882
-0.008043,0.127827,0.000876,-0.615129
-0.063657,0.130658,-0.437782,-0.660833
0.002310,0.125844,0.081452,-0.552938
-0.059109,0.128112,-0.411247,-0.684268
-0.105023,0.130187,-0.786776,-0.847174
-0.076171,0.126091,-0.565016,-0.734801
-0.085313,0.125463,-0.647642,-0.782991
-0.026952,0.131310,-0.142168,-0.624437
-0.073505,0.128743,-0.528336,-0.774885
-0.129689,0.130281,-1.000506,-0.909202
-0.059197,0.127803,-0.413268,-0.716781
0.003624,0.128551,0.092616,-0.553128
-0.096919,0.130875,-0.713075,-0.845283
-0.067803,0.128620,-0.481296,-0.820507
-0.007955,0.129312,0.003144,-0.463329
-0.054496,0.125167,-0.384890,-0.656513
-0.089408,0.127521,-0.670395,-0.821697
-0.042670,0.129718,-0.271100,-0.658411
-0.049098,0.127944,-0.329259,-0.648190
-0.048855,0.127223,-0.329837,-0.676776
-0.052280,0.130223,-0.346944,-0.679651
-0.037832,0.126386,-0.241739,-0.545505
0.015035,0.127816,0.180850,-0.486324
-0.023617,0.125958,-0.126591,-0.708578
-0.064084,0.128495,-0.450907,-0.720726
0.024177,0.127639,0.251145,-0.313903
-0.016077,0.128355,-0.061918,-0.602929
-0.041546,0.130478,-0.259748,-0.534650
-0.027486,0.125839,-0.158296,-0.533376
-0.054746,0.125705,-0.384791,-0.679381
-0.025032,0.127984,-0.133836,-0.586430
-0.023919,0.128476,-0.123993,-0.596560
-0.035398,0.129212,-0.214043,-0.756578
0.015476,0.129481,0.183563,-0.440495
0.004746,0.125403,0.100589,-0.648103
-0.070899,0.129296,-0.503797,-0.712341
-0.055411,0.127931,-0.381320,-0.593032
-0.041779,0.128479,-0.267731,-0.534101
-0.065558,0.128162,-0.464707,-0.694043
-0.019251,0.128021,-0.087606,-0.488254
-0.077110,0.131537,-0.543928,-0.813331
-0.028901,0.129235,-0.162029,-0.533490
-0.137735,0.131154,-1.063688,-0.904055
-0.013397,0.128403,-0.040640,-0.632427
-0.082331,0.126861,-0.613483,-0.757208
-0.036203,0.130171,-0.217934,-0.612313
-0.067162,0.129603,-0.471390,-0.667845
-0.077699,0.131038,-0.551342,-0.800410
-0.053103,0.130760,-0.351612,-0.633955
-0.104768,0.125570,-0.818161,-0.865575
-0.134536,0.128606,-1.058653,-0.913965
-0.033937,0.129181,-0.202404,-0.650436
-0.054564,0.123991,-0.390317,-0.674590
-0.087484,0.128583,-0.647316,-0.805961
-0.103923,0.130632,-0.774212,-0.850327
-0.070340,0.128673,-0.502210,-0.729249
-0.031851,0.128183,-0.188254,-0.552769
-0.036165,0.128237,-0.222880,-0.551424
-0.128404,0.130585,-0.986579,-0.906541
-0.028921,0.127475,-0.166289,-0.593708
-0.117698,0.126207,-0.928629,-0.870929
-0.002577,0.127873,0.043899,-0.512513
-0.043613,0.125811,-0.291308,-0.714757
0.001218,0.125517,0.072641,-0.376337
-0.004324,0.128699,0.030907,-0.614484
0.030282,0.126469,0.299254,-0.539055
-0.064433,0.127564,-0.458089,-0.737851
-0.024247,0.126847,-0.129878,-0.675671
-0.047232,0.132215,-0.299546,-0.728482
-0.046706,0.126396,-0.314996,-0.646859
-0.051689,0.127646,-0.351740,-0.626397
-0.028899,0.127840,-0.165235,-0.518542
-0.070698,0.128809,-0.504536,-0.801473
-0.052345,0.128383,-0.354377,-0.588896
-0.072568,0.127749,-0.525601,-0.785076
-0.115393,0.131208,-0.868337,-0.872884
-0.022118,0.125237,-0.115798,-0.550806
-0.081869,0.129343,-0.595340,-0.788031
-0.056517,0.130453,-0.380395,-0.713459
-0.035842,0.126675,-0.224597,-0.652010
-0.005030,0.126313,0.023475,-0.381747
-0.007694,0.127336,0.003178,-0.494969
0.007101,0.128286,0.119410,-0.521065
-0.075788,0.129024,-0.546063,-0.770663
-0.037947,0.128154,-0.237598,-0.583299
-0.055487,0.130192,-0.373110,-0.610010
-0.081494,0.125520,-0.614158,-0.767270
-0.010339,0.129844,-0.014898,-0.548925
-0.068975,0.129232,-0.488169,-0.699944
-0.069538,0.130622,-0.486161,-0.726691
-0.043300,0.126339,-0.286939,-0.670868
-0.010413,0.129649,-0.015686,-0.486379
-0.098729,0.132525,-0.717689,-0.834538
