Date,regime,gross_ret,trading_costs,mgmt_fee,borrow_costs,net_ret,equity,bench_net_ret,bench_equity
2018-05-22,bull,-0.00834124,-0.00001779,-0.00000000,-0.00000501,-0.00836405,0.93878727,-0.00278377,2.81964013
2018-05-23,bull,0.00882007,-0.00001729,-0.00000000,-0.00000518,0.00879759,0.94704634,0.00274770,2.82738766
2018-05-24,bull,0.00805506,-0.00003176,-0.00000000,-0.00000533,0.00801797,0.95463973,-0.00205242,2.82158466
2018-05-25,bull,-0.00495765,-0.00001344,-0.00000000,-0.00000537,-0.00497645,0.94988901,-0.00238620,2.81485180
2018-05-29,bull,-0.00243063,-0.00002180,-0.00000000,-0.00000557,-0.00245800,0.94755419,-0.01150446,2.78246846
2018-05-30,bull,0.01742505,-0.00002758,-0.00000000,-0.00000529,0.01739218,0.96403422,0.01334115,2.81958978
2018-05-31,bull,-0.00760749,-0.00002913,-0.00000000,-0.00000511,-0.00764173,0.95666733,-0.00612973,2.80230647
2018-06-01,bull,0.01659239,-0.00003027,-0.00000000,-0.00000489,0.01655722,0.97250708,0.00981437,2.82980934
2018-06-04,bull,0.00581794,-0.00002955,-0.00000000,-0.00000515,0.00578324,0.97813132,0.00474769,2.84324439
2018-06-05,bull,0.00599190,-0.00002827,-0.00000000,-0.00000542,0.00595821,0.98395923,0.00072416,2.84530334
2018-06-06,bull,0.00436221,-0.00002814,-0.00000000,-0.00000572,0.00432835,0.98821815,0.00835708,2.86908178
2018-06-07,bull,-0.01937200,-0.00010103,-0.00000000,-0.00000460,-0.01947763,0.96897000,-0.00011177,2.86876110
2018-06-08,bull,0.00537737,-0.00002864,-0.00000000,-0.00000482,0.00534391,0.97414809,0.00295290,2.87723225
2018-06-11,bull,0.00056260,-0.00002783,-0.00000000,-0.00000507,0.00052969,0.97466409,0.00132604,2.88104756
2018-06-12,bull,0.00781117,-0.00002104,-0.00000000,-0.00000527,0.00778486,0.98225171,0.00128930,2.88476209
2018-06-13,bull,0.00682086,-0.00002340,-0.00000000,-0.00000551,0.00679194,0.98892311,-0.00319492,2.87554550
2018-06-14,bull,0.00578325,-0.00003878,-0.00000000,-0.00000573,0.00573874,0.99459828,0.00251437,2.88277568
2018-06-15,bull,-0.00858903,-0.00002557,-0.00000000,-0.00000557,-0.00862017,0.98602467,-0.00127900,2.87908859
2018-06-18,bull,0.01193030,-0.00001133,-0.00000000,-0.00000562,0.01191335,0.99777153,-0.00206054,2.87315612
2018-06-19,bull,-0.00935469,-0.00002039,-0.00000000,-0.00000544,-0.00938052,0.98841191,-0.00383680,2.86213239
2018-06-20,bull,0.00792837,-0.00001900,-0.00000000,-0.00000564,0.00790373,0.99622406,0.00170288,2.86700627
2018-06-21,bull,-0.01450722,-0.00006377,-0.00000000,-0.00000504,-0.01457604,0.98170306,-0.00627249,2.84902300
2018-06-22,bull,-0.00789567,-0.00001719,-0.00000000,-0.00000508,-0.00791793,0.97393000,0.00181962,2.85420712
2018-06-25,bull,-0.03176966,-0.00011854,-0.00000000,-0.00000364,-0.03189184,0.94286958,-0.01361633,2.81534330
2018-06-26,bull,0.00583969,-0.00001016,-0.00000000,-0.00000370,0.00582583,0.94836258,0.00221025,2.82156590
2018-06-27,bull,-0.01404013,-0.00001255,-0.00000000,-0.00000358,-0.01405626,0.93503215,-0.00828757,2.79818198
2018-06-28,bull,0.01033899,-0.00002649,-0.00000000,-0.00000340,0.01030910,0.94467148,0.00571375,2.81417010
2018-06-29,bull,0.00060758,-0.00002504,-0.00000000,-0.00000358,0.00057896,0.94521841,0.00143599,2.81821122
2018-07-02,bull,0.00743850,-0.00001214,-0.00000000,-0.00000364,0.00742272,0.95223450,0.00213451,2.82422672
2018-07-03,bull,-0.00455331,-0.00001812,-0.00000000,-0.00000380,-0.00457523,0.94787781,-0.00353484,2.81424354
2018-07-05,bull,0.00500065,-0.00001477,-0.00000000,-0.00000394,0.00498195,0.95260009,0.00815460,2.83719256
2018-07-06,bull,0.00822003,-0.00000735,-0.00000000,-0.00000400,0.00820867,0.96041967,0.00845475,2.86118031
2018-07-09,bull,0.00712022,-0.00001146,-0.00000000,-0.00000413,0.00710463,0.96724310,0.00900059,2.88693262
2018-07-10,bull,0.00381401,-0.00001791,-0.00000000,-0.00000437,0.00379173,0.97091062,0.00359478,2.89731051
2018-07-11,bull,-0.00150556,-0.00001751,-0.00000000,-0.00000460,-0.00152767,0.96942739,-0.00731809,2.87610772
2018-07-12,bull,0.01698780,-0.00004335,-0.00000000,-0.00000419,0.01694026,0.98584974,0.00906236,2.90217205
2018-07-13,bull,-0.00154356,-0.00002644,-0.00000000,-0.00000438,-0.00157438,0.98429764,0.00078417,2.90444786
2018-07-16,bull,-0.00252534,-0.00002254,-0.00000000,-0.00000455,-0.00255244,0.98178528,-0.00089757,2.90184091
2018-07-17,bull,0.00740251,-0.00001955,-0.00000000,-0.00000472,0.00737825,0.98902914,0.00404126,2.91356802
2018-07-18,bull,0.00181029,-0.00002450,-0.00000000,-0.00000496,0.00178083,0.99079043,0.00210007,2.91968670
2018-07-19,bull,0.00078501,-0.00004391,-0.00000000,-0.00000508,0.00073602,0.99151967,-0.00377476,2.90866559
2018-07-20,bull,0.00035950,-0.00003831,-0.00000000,-0.00000533,0.00031586,0.99183285,-0.00114658,2.90533056
2018-07-23,bull,0.00283133,-0.00003589,-0.00000000,-0.00000562,0.00278981,0.99459987,0.00185570,2.91072199
2018-07-24,bull,-0.01553796,-0.00005013,-0.00000000,-0.00000507,-0.01559315,0.97909093,0.00502839,2.92535825
2018-07-25,bull,0.01890689,-0.00004202,-0.00000000,-0.00000457,0.01886031,0.99755689,0.00851886,2.95027896
2018-07-26,bull,-0.00310769,-0.00003252,-0.00000000,-0.00000468,-0.00314489,0.99441968,-0.00236241,2.94330920
2018-07-27,bull,-0.02670436,-0.00009810,-0.00000000,-0.00000358,-0.02680604,0.96776323,-0.00677960,2.92335475
2018-07-30,bull,-0.01844894,-0.00003232,-0.00000000,-0.00000325,-0.01848451,0.94987459,-0.00522729,2.90807354
2018-07-31,bull,0.00469928,-0.00001157,-0.00000000,-0.00000334,0.00468437,0.95432416,0.00492579,2.92239808
2018-08-01,bull,0.00630007,-0.00000826,-0.00000000,-0.00000341,0.00628840,0.96032533,-0.00167442,2.91750477
2018-08-02,bull,0.02123199,-0.00005700,-0.00000000,-0.00000281,0.02117218,0.98065751,0.00544383,2.93338715
2018-08-03,bull,-0.00371890,-0.00001907,-0.00000000,-0.00000292,-0.00374089,0.97698897,0.00428152,2.94594650
2018-08-06,bull,0.00643817,-0.00001539,-0.00000000,-0.00000304,0.00641974,0.98326099,0.00366370,2.95673957
2018-08-07,bull,0.00747879,-0.00001288,-0.00000000,-0.00000314,0.00746277,0.99059884,0.00329878,2.96649321
2018-08-08,bull,0.00211810,-0.00001726,-0.00000000,-0.00000331,0.00209753,0.99267666,-0.00042383,2.96523593
2018-08-09,bull,0.00191676,-0.00002260,-0.00000000,-0.00000348,0.00189068,0.99455349,-0.00136966,2.96117457
2018-08-10,bull,0.00271692,-0.00002109,-0.00000000,-0.00000368,0.00269215,0.99723098,-0.00670391,2.94132311
2018-08-13,bull,-0.00497470,-0.00001147,-0.00000000,-0.00000378,-0.00498995,0.99225485,-0.00374691,2.93030223
2018-08-14,bull,0.00782084,-0.00001265,-0.00000000,-0.00000391,0.00780427,0.99999867,0.00637710,2.94898907
2018-08-15,bull,-0.01657967,-0.00003529,-0.00000000,-0.00000349,-0.01661845,0.98338024,-0.00747074,2.92695794
2018-08-16,bull,0.00215566,-0.00002306,-0.00000000,-0.00000363,0.00212897,0.98547383,0.00808779,2.95063056
2018-08-17,bull,0.00192718,-0.00002166,-0.00000000,-0.00000382,0.00190170,0.98734791,0.00351669,2.96100701
2018-08-20,bull,0.00756567,-0.00001306,-0.00000000,-0.00000393,0.00754869,0.99480109,0.00213657,2.96733342
2018-08-21,bull,0.00543041,-0.00001721,-0.00000000,-0.00000411,0.00540909,1.00018206,0.00234162,2.97428178
2018-08-22,bull,0.01185429,-0.00000338,-0.00000000,-0.00000411,0.01184681,1.01203103,-0.00059731,2.97250522
2018-08-23,bull,0.00869340,-0.00002155,-0.00000000,-0.00000418,0.00866767,1.02080297,-0.00133154,2.96854720
2018-08-24,bull,0.01060468,-0.00001598,-0.00000000,-0.00000429,0.01058442,1.03160758,0.00601517,2.98640352
2018-08-27,bull,0.00214650,-0.00002271,-0.00000000,-0.00000451,0.00211928,1.03379385,0.00789155,3.00997088
2018-08-28,bull,0.00215711,-0.00002215,-0.00000000,-0.00000474,0.00213022,1.03599605,0.00047947,3.01141407
2018-08-29,bull,0.00681414,-0.00002159,-0.00000000,-0.00000498,0.00678758,1.04302796,0.00537719,3.02760701
2018-08-30,bull,-0.00421148,-0.00002213,-0.00000000,-0.00000494,-0.00423855,1.03860703,-0.00405169,3.01534007
2018-08-31,bull,0.00797713,-0.00002976,-0.00000000,-0.00000517,0.00794220,1.04685586,0.00003084,3.01543306
2018-09-04,bull,0.00894546,-0.00002631,-0.00000000,-0.00000539,0.00891376,1.05618728,-0.00172590,3.01022873
2018-09-05,bull,-0.02108548,-0.00009241,-0.00000000,-0.00000427,-0.02118216,1.03381495,-0.00269497,3.00211625
2018-09-06,bull,0.00019433,-0.00003100,-0.00000000,-0.00000441,0.00015893,1.03397925,-0.00301374,2.99306866
2018-09-07,bull,0.00199628,-0.00002898,-0.00000000,-0.00000463,0.00196266,1.03600860,-0.00194673,2.98724198
2018-09-10,bull,0.00985565,-0.00001471,-0.00000000,-0.00000472,0.00983622,1.04619901,0.00173510,2.99242514
2018-09-11,bull,0.00790989,-0.00001997,-0.00000000,-0.00000492,0.00788500,1.05444829,0.00329344,3.00228051
2018-09-12,bull,0.00324958,-0.00002493,-0.00000000,-0.00000520,0.00321945,1.05784303,0.00023891,3.00299780
2018-09-13,bull,-0.00016353,-0.00003897,-0.00000000,-0.00000532,-0.00020781,1.05762319,0.00591089,3.02074818
2018-09-14,bull,-0.00164013,-0.00003165,-0.00000000,-0.00000554,-0.00167732,1.05584921,0.00016839,3.02125683
2018-09-17,bull,-0.01972108,-0.00007835,-0.00000000,-0.00000466,-0.01980409,1.03493909,-0.00529778,3.00525089
2018-09-18,bull,0.01322548,-0.00001650,-0.00000000,-0.00000454,0.01320445,1.04860489,0.00542238,3.02154649
2018-09-19,bull,-0.01622975,-0.00003733,-0.00000000,-0.00000409,-0.01627117,1.03154285,0.00106189,3.02475503
2018-09-20,bull,0.00233416,-0.00003083,-0.00000000,-0.00000422,0.00229912,1.03391449,0.00810049,3.04925702
2018-09-21,bull,-0.00137194,-0.00002821,-0.00000000,-0.00000445,-0.00140459,1.03246226,-0.00091721,3.04646022
2018-09-24,bull,0.00555119,-0.00002105,-0.00000000,-0.00000463,0.00552551,1.03816714,-0.00332545,3.03632937
2018-09-25,bull,0.01138887,-0.00000888,-0.00000000,-0.00000461,0.01137539,1.04997669,-0.00093112,3.03350219
2018-09-26,bull,-0.00084140,-0.00002217,-0.00000000,-0.00000485,-0.00086841,1.04906487,-0.00299633,3.02441280
